20/06/2014 01:47:50 INFO Administracion de Relaciones del item item122, hecho por ysapy
20/06/2014 01:47:52 INFO Lista de items relacionados con el item item122, hecho por ysapy
20/06/2014 01:47:57 INFO Crear relacion de item item122 con el item item112, hecho por ysapy
20/06/2014 01:48:08 INFO Administracion de Relaciones del item item222, hecho por ysapy
20/06/2014 01:48:53 INFO Administracion de Relaciones del item item222, hecho por ysapy
20/06/2014 01:48:57 INFO Lista de items relacionados con el item item222, hecho por ysapy
20/06/2014 01:49:10 INFO Crear relacion de item item222 con el item item122, hecho por ysapy
20/06/2014 01:49:16 INFO Administracion de Relaciones del item item322, hecho por ysapy
20/06/2014 01:49:20 INFO Lista de items relacionados con el item item322, hecho por ysapy
20/06/2014 01:49:25 INFO Crear relacion de item item322 con el item item112, hecho por ysapy
20/06/2014 01:50:43 INFO Administracion de Relaciones del item item122, hecho por ysapy
20/06/2014 01:50:50 INFO Eliminacion de la relacion entre el item item122 y el item 0, hecho por ysapy
20/06/2014 01:51:15 INFO Administracion de Relaciones del item item122, hecho por ysapy
20/06/2014 01:51:17 INFO Lista de items relacionados con el item item122, hecho por ysapy
20/06/2014 01:51:21 INFO Crear relacion de item item122 con el item item112, hecho por ysapy
20/06/2014 01:52:33 INFO Administracion de Lineas Base de fase F2 del proyecto P2, hecho por ysapy
20/06/2014 01:52:46 INFO Generacion de Linea Base 1 de la fase F2 del proyecto P2, hecho por ysapy
20/06/2014 01:52:47 INFO Administracion de Lineas Base de fase F2 del proyecto P2, hecho por ysapy
20/06/2014 01:53:01 INFO Generacion de Linea Base 2 de la fase F2 del proyecto P2, hecho por ysapy
20/06/2014 01:53:03 INFO Administracion de Lineas Base de fase F2 del proyecto P2, hecho por ysapy
20/06/2014 01:53:16 INFO Generacion de Linea Base 3 de la fase F2 del proyecto P2, hecho por ysapy
20/06/2014 01:53:18 INFO Administracion de Lineas Base de fase F2 del proyecto P2, hecho por ysapy
20/06/2014 01:53:33 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
20/06/2014 01:53:50 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
20/06/2014 01:54:02 INFO Lista de items eliminados de Fase F1 de proyecto P2, hecho por ysapy
20/06/2014 01:58:15 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
20/06/2014 01:58:54 INFO Lita de tipos de Item del proyecto P2, hecho por ysapy
20/06/2014 01:59:26 INFO Lita de tipos de Item del proyecto P2, hecho por ysapy
20/06/2014 02:00:15 INFO Lita de tipos de Item del proyecto P2, hecho por ysapy
20/06/2014 02:01:08 INFO Administracion de Relaciones del item item132, hecho por ysapy
20/06/2014 02:01:11 INFO Lista de items relacionados con el item item132, hecho por ysapy
20/06/2014 02:01:17 INFO Crear relacion de item item132 con el item item122, hecho por ysapy
20/06/2014 02:01:58 INFO Administracion de Relaciones del item item232, hecho por ysapy
20/06/2014 02:02:00 INFO Lista de items relacionados con el item item232, hecho por ysapy
20/06/2014 02:02:06 INFO Crear relacion de item item232 con el item item132, hecho por ysapy
20/06/2014 02:02:14 INFO Administracion de Relaciones del item item332, hecho por ysapy
20/06/2014 02:02:17 INFO Lista de items relacionados con el item item332, hecho por ysapy
20/06/2014 02:02:21 INFO Crear relacion de item item332 con el item item322, hecho por ysapy
20/06/2014 02:02:31 INFO Consulta de item item232 de la fase F3 del proyecto P2, hecho por ysapy
20/06/2014 02:02:35 INFO Consulta de relaciones de item item232 de la fase F3 del proyecto P2, hecho por ysapy
20/06/2014 02:03:56 INFO Calculo del impacto del item item132 de la fase F3 del proyecto P2, hecho por ysapy
20/06/2014 02:04:35 INFO Calculo del impacto del item item132 de la fase F3 del proyecto P2, hecho por ysapy
20/06/2014 02:06:16 INFO Administracion de Lineas Base de fase F3 del proyecto P2, hecho por ysapy
20/06/2014 02:06:40 INFO Generacion de Linea Base 1 de la fase F3 del proyecto P2, hecho por ysapy
